7.1848 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
127.6033 	EXP 	text: autoDraw = False
127.6033 	EXP 	text: height = 0.05
127.6033 	EXP 	text: height = 0.05
127.6033 	EXP 	text: height = 0.05
127.6033 	EXP 	text: text = 'GBP 67 today or  GBP75 after 119 days'
127.6033 	EXP 	fixation: autoDraw = True
128.6031 	EXP 	fixation: autoDraw = False
128.6031 	EXP 	text: autoDraw = True
130.5882 	EXP 	New trial (rep=4, index=6): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
130.5973 	DATA 	Keypress: l
130.6023 	EXP 	fixation: autoDraw = False
130.6023 	EXP 	text: autoDraw = False
130.6023 	EXP 	text: height = 0.05
130.6023 	EXP 	text: height = 0.05
130.6023 	EXP 	text: height = 0.05
130.6023 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
130.6023 	EXP 	fixation: autoDraw = True
131.6020 	EXP 	fixation: autoDraw = False
131.6020 	EXP 	text: autoDraw = True
135.0202 	EXP 	New trial (rep=5, index=0): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
135.0287 	DATA 	Keypress: l
135.0341 	EXP 	fixation: autoDraw = False
135.0341 	EXP 	text: autoDraw = False
135.0341 	EXP 	text: height = 0.05
135.0341 	EXP 	text: height = 0.05
135.0341 	EXP 	text: height = 0.05
135.0341 	EXP 	text: text = 'GBP 78 today or  GBP80 after 162 days'
135.0341 	EXP 	fixation: autoDraw = True
136.0339 	EXP 	fixation: autoDraw = False
136.0339 	EXP 	text: autoDraw = True
137.3696 	EXP 	New trial (rep=5, index=1): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
137.3788 	DATA 	Keypress: l
137.3833 	EXP 	fixation: autoDraw = False
137.3833 	EXP 	text: autoDraw = False
137.3833 	EXP 	text: height = 0.05
137.3833 	EXP 	text: height = 0.05
137.3833 	EXP 	text: height = 0.05
137.3833 	EXP 	text: text = 'GBP 11 today or  GBP30 after 7 days'
137.3833 	EXP 	fixation: autoDraw = True
138.3832 	EXP 	fixation: autoDraw = False
138.3832 	EXP 	text: autoDraw = True
142.7674 	EXP 	New trial (rep=5, index=2): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
142.7769 	DATA 	Keypress: t
142.7815 	EXP 	fixation: autoDraw = False
142.7815 	EXP 	text: autoDraw = False
142.7815 	EXP 	text: height = 0.05
142.7815 	EXP 	text: height = 0.05
142.7815 	EXP 	text: height = 0.05
142.7815 	EXP 	text: text = 'GBP 15 today or  GBP35 after 13 days'
142.7815 	EXP 	fixation: autoDraw = True
143.7813 	EXP 	fixation: autoDraw = False
143.7813 	EXP 	text: autoDraw = True
145.6162 	EXP 	New trial (rep=5, index=3): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
145.6249 	DATA 	Keypress: l
145.6305 	EXP 	fixation: autoDraw = False
145.6305 	EXP 	text: autoDraw = False
145.6305 	EXP 	text: height = 0.05
